slopes_connection_lines_1, slopes_connection_lines_2, slopes_connection_lines_3, slopes_connection_lines_4, slopes_connection_lines_5, slopes_knuckle_lines_1, slopes_knuckle_lines_2, y_diff_array, label_array
-0.09,-0.08,-0.01,-0.01,-0.04,-4.67,5.50,0.07,0.00
0.00,0.02,0.04,0.04,0.04,-6.50,6.00,0.00,0.00
-0.12,-0.08,-0.13,-0.15,-0.16,4.33,3.00,0.09,0.14
-0.23,-0.24,-0.26,-0.24,-0.23,5.50,3.25,0.16,0.21
-0.27,-0.29,-0.29,-0.30,-0.29,6.00,2.75,0.19,0.24
-0.36,-0.36,-0.37,-0.38,-0.38,4.00,2.20,0.25,0.29
-0.44,-0.44,-0.44,-0.45,-0.45,3.25,2.20,0.30,0.33
-0.50,-0.52,-0.51,-0.51,-0.51,3.25,2.00,0.33,0.36
-0.55,-0.55,-0.54,-0.54,-0.55,3.25,2.00,0.36,0.38
-0.61,-0.61,-0.57,-0.59,-0.60,2.60,1.83,0.40,0.41
-0.64,-0.62,-0.61,-0.61,-0.60,2.60,1.71,0.42,0.42
-0.66,-0.66,-0.64,-0.64,-0.64,2.40,2.00,0.44,0.45
-0.69,-0.65,-0.65,-0.66,-0.65,2.60,1.57,0.45,0.45
-0.71,-0.70,-0.68,-0.68,-0.69,2.40,1.83,0.46,0.45
-0.74,-0.71,-0.70,-0.69,-0.69,2.40,1.71,0.48,0.45
-0.74,-0.72,-0.70,-0.71,-0.72,2.60,1.57,0.49,0.47
-0.77,-0.75,-0.72,-0.75,-0.74,2.17,1.57,0.50,0.48
-0.78,-0.77,-0.78,-0.76,-0.77,1.86,1.38,0.51,0.50
-0.82,-0.78,-0.78,-0.79,-0.79,2.00,1.57,0.54,0.52
-0.80,-0.79,-0.86,-0.85,-0.86,2.00,1.33,0.56,0.56
-0.84,-0.83,-0.86,-0.81,-0.78,1.67,1.33,0.57,0.57
-0.85,-0.86,-0.86,-0.82,-0.81,1.83,1.50,0.57,0.55
-0.85,-0.84,-0.88,-0.86,-0.85,1.38,1.50,0.58,0.56
-0.85,-0.84,-0.87,-0.89,-0.89,1.44,1.33,0.58,0.58
-0.84,-0.85,-0.86,-0.89,-0.92,1.88,1.50,0.57,0.56
-0.65,-0.63,-0.64,-0.63,-0.62,2.40,1.11,0.49,0.47
-0.27,-0.22,-0.12,-0.12,-0.12,8.00,3.75,0.21,-0.99
-0.11,-0.06,0.01,0.01,0.01,15.00,5.00,0.08,0.00
0.03,0.07,0.11,0.12,0.12,0.00,5.33,-0.02,-0.11
0.06,0.04,0.16,0.16,0.16,-15.00,8.00,-0.04,-0.16
0.06,0.11,0.18,0.18,0.19,-14.00,4.25,-0.04,-0.17
0.07,0.12,0.25,0.24,0.25,-7.00,3.20,-0.05,-0.21
-0.18,-0.15,-0.07,-0.07,-0.09,5.00,9.00,0.10,0.24
-0.15,-0.10,-0.07,-0.07,-0.09,5.00,9.00,0.08,0.17
-0.13,-0.11,-0.05,-0.09,-0.07,5.50,9.00,0.07,0.21
-0.11,-0.09,-0.06,-0.09,-0.09,11.00,4.50,0.06,0.21
-0.09,-0.09,-0.06,-0.05,-0.07,10.00,4.50,0.05,0.00
-0.09,-0.09,-0.07,-0.09,-0.10,5.00,4.00,0.05,0.22
-0.11,-0.12,-0.09,-0.11,-0.12,5.00,4.00,0.06,0.29
-0.07,-0.06,-0.07,-0.08,-0.10,12.00,4.50,0.04,0.19
-0.06,-0.04,-0.11,-0.13,-0.18,-7.50,2.00,0.04,0.10
-0.13,-0.08,-0.13,-0.14,-0.12,8.00,3.00,0.08,-0.99
-0.17,-0.12,-0.13,-0.12,-0.12,9.00,3.33,0.10,-0.99
-0.20,-0.10,-0.18,-0.18,-0.17,4.00,2.00,0.12,0.16
-0.35,-0.31,-0.31,-0.34,-0.33,3.33,1.60,0.21,0.27
-0.45,-0.37,-0.44,-0.44,-0.43,2.25,1.80,0.26,0.27
-0.54,-0.47,-0.52,-0.54,-0.53,2.00,1.14,0.31,0.39
-0.60,-0.49,-0.55,-0.57,-0.56,2.75,1.33,0.34,0.42
-0.62,-0.49,-0.60,-0.58,-0.59,2.25,1.33,0.35,0.42
-0.63,-0.53,-0.60,-0.62,-0.60,2.50,1.33,0.36,0.38
-0.68,-0.61,-0.67,-0.68,-0.66,2.50,1.33,0.38,0.47
-0.71,-0.62,-0.73,-0.74,-0.70,2.50,1.14,0.39,0.50
-0.71,-0.61,-0.73,-0.73,-0.73,2.50,1.14,0.39,0.50
-0.76,-0.68,-0.75,-0.76,-0.76,2.20,1.14,0.41,0.51
-0.76,-0.66,-0.76,-0.77,-0.78,2.20,1.00,0.41,0.51
-0.76,-0.68,-0.76,-0.77,-0.78,2.20,1.14,0.41,0.53
-0.79,-0.70,-0.75,-0.76,-0.78,2.20,1.17,0.42,0.53
-0.78,-0.68,-0.77,-0.76,-0.78,3.00,1.14,0.42,0.53
-0.77,-0.72,-0.77,-0.78,-0.79,2.75,0.88,0.41,0.53
-0.81,-0.70,-0.81,-0.81,-0.81,2.20,1.00,0.43,0.54
-0.81,-0.70,-0.83,-0.86,-0.87,2.40,1.14,0.44,0.56
-0.88,-0.77,-0.87,-0.89,-0.91,2.40,1.14,0.46,0.59
-0.92,-0.77,-0.92,-0.98,-1.00,2.17,1.00,0.48,0.60
-0.94,-0.84,-0.98,-1.04,-1.06,1.86,1.00,0.49,0.63
-0.96,-0.86,-1.02,-1.04,-1.09,2.17,0.75,0.50,0.64
-0.96,-0.87,-1.02,-1.08,-1.11,2.33,0.75,0.52,0.64
-0.96,-0.95,-0.96,-1.00,-1.04,2.33,1.00,0.54,0.64
-1.00,-0.96,-1.00,-1.02,-1.05,2.17,0.88,0.56,-0.75
-1.02,-1.04,-1.04,-1.07,-1.11,2.33,1.00,0.61,0.70
-1.06,-1.06,-1.12,-1.15,-1.18,2.00,0.78,0.66,-0.71
-1.08,-1.15,-1.15,-1.16,-1.20,2.00,0.78,0.66,0.73
-0.98,-1.00,-0.96,-1.03,-1.05,1.88,1.00,0.63,0.64
-0.78,-0.75,-0.67,-0.69,-0.72,2.67,1.25,0.52,0.52
-0.58,-0.58,-0.55,-0.56,-0.56,4.00,1.71,0.42,0.47
-0.41,-0.46,-0.36,-0.36,-0.36,8.00,2.60,0.30,0.34
-0.27,-0.27,-0.23,-0.23,-0.25,15.00,4.00,0.20,0.26
